Číslo kapitoly,Kapitola,Částka
301,Kancelář prezidenta republiky,405364725.0
302,Poslanecká sněmovna Parlamentu,1332355420.0
303,Senát Parlamentu,605343544.0
304,Úřad vlády České republiky,1088156515.0
305,Bezpečnostní informační služba,2076974408.0
306,Ministerstvo zahraničních věcí,8127005597.0
307,Ministerstvo obrany,66734800521.0
308,Národní bezpečnostní úřad,301507594.0
309,Kancelář veřejného ochránce práv,158931689.0
312,Ministerstvo financí,23617964238.0
313,Ministerstvo práce a sociálních věcí,637190990417.0
314,Ministerstvo vnitra,77605048113.0
315,Ministerstvo životního prostředí,14073770032.0
317,Ministerstvo pro místní rozvoj,11501908279.0
321,Grantová agentura České republiky,4390784794.0
322,Ministerstvo průmyslu a obchodu,39596672278.0
327,Ministerstvo dopravy,72555424741.0
328,Český telekomunikační úřad,1468076432.0
329,Ministerstvo zemědělství,57415756297.0
333,"Ministerstvo školství, mládeže a tělovýchovy",205759166364.0
334,Ministerstvo kultury,14783403358.0
335,Ministerstvo zdravotnictví,8203095540.0
336,Ministerstvo spravedlnosti,30489782592.0
343,Úřad pro ochranu osobních údajů,167195335.0
344,Úřad průmyslového vlastnictví,196462520.0
345,Český statistický úřad,1304798306.0
346,Český úřad zeměměřický a katastrální,3524639347.0
348,Český báňský úřad,179247759.0
349,Energetický regulační úřad,295403397.0
353,Úřad pro ochranu hospodářské soutěže,254126162.0
355,Ústav pro studium totalitních režimů,234531913.0
358,Ústavní soud,231559248.0
359,Úřad Národní rozpočtové rady,25503936.0
361,Akademie věd České republiky,6022421793.0
362,Národní sportovní agentura,0.0
371,Úřad pro dohled nad hospodařením politických stran a politických hnutí,34816619.0
372,Rada pro rozhlasové a televizní vysílání,68154789.0
373,Úřad pro přístup k dopravní infrastruktuře,19584073.0
374,Správa státních hmotných rezerv,2698959708.0
375,Státní úřad pro jadernou bezpečnost,429801218.0
376,Generální inspekce bezpečnostních sborů,405838074.0
377,Technologická agentura České republiky,4274646444.0
378,Národní úřad pro kybernetickou a informační bezpečnost,352460730.0
381,Nejvyšší kontrolní úřad,894507530.0
396,Státní dluh,46499000000.0
397,Operace státních finančních aktiv,315000000.0
398,Všeobecná pokladní správa,157448129462.0
999,Zdravotní pojišťovny,309764000000.0
