Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,10/07/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Aruba,ABW,"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2308215392,2492015641,2638604796,2831425916,3063713347,3141750497,3179005059,3403025483,3470813355,3513783388,3781413852,3669058328,3548946314,3619057427,3905381496,3952806451,3994334897,4066241947,4062553550,3635183170,3501225595,3621879746,3572264955,3722236937,3753809986,3736895853,3729002590,3778617381,
Afghanistan,AFG,"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22967928744,24996520016,25350000300,28196733046,29707345737,33814778286,35142002863,42659062968,48785945914,48993947132,55241795924,58335747860,59925130607,60794832810,62168987051,63825972119,64483800920
Angola,AGO,"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56412886586,56972140984,53645947454,40779815935,41326005879,47524906773,53961855872,57887190934,60602763837,61924806899,63816377058,66500492955,75588241859,77848216916,86374824504,99356023735,1.10829E+11,1.26357E+11,1.40466E+11,1.41672E+11,1.48556E+11,1.53714E+11,1.66844E+11,1.75111E+11,1.83556E+11,1.85288E+11,1.80507E+11,1.80241E+11,1.76396E+11
Albania,ALB,"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14652218187,10549283294,9791094603,10727065646,11617719595,13165470924,14363528705,12795033656,13924846351,15719744665,16812272600,18206021772,19032567994,20085078669,21191766241,22363652860,23683127155,25099373905,26981819307,27885708608,28919398554,29655514485,30075889111,30377245888,30914923231,31604326074,32663070899,33916228698,35274374648
Andorra,AND,"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.33523E+12,2.34234E+12,2.46241E+12,2.53942E+12,2.61475E+12,2.68532E+12,2.80953E+12,2.92984E+12,3.10126E+12,3.17286E+12,3.33961E+12,3.39892E+12,3.41754E+12,3.56915E+12,3.89737E+12,4.11657E+12,4.37004E+12,4.56914E+12,4.83746E+12,4.88238E+12,5.11773E+12,5.27177E+12,5.62013E+12,5.7928E+12,5.92919E+12,6.11876E+12,6.32833E+12,6.40288E+12,6.55167E+12
United Arab Emirates,ARE,"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.05424E+11,2.0719E+11,2.14121E+11,2.16821E+11,2.31774E+11,2.47274E+11,2.61612E+11,2.83039E+11,2.83866E+11,2.92104E+11,3.23805E+11,3.28336E+11,3.36326E+11,3.65924E+11,4.0093E+11,4.20396E+11,4.61752E+11,4.76455E+11,4.91663E+11,4.65886E+11,4.73353E+11,5.06158E+11,5.28857E+11,5.55582E+11,5.8002E+11,6.09396E+11,6.27608E+11,6.32568E+11,6.41575E+11
Argentina,ARG,"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.70966E+11,4.04847E+11,4.36981E+11,4.72844E+11,5.0044E+11,4.86201E+11,5.13072E+11,5.54688E+11,5.76044E+11,5.56542E+11,5.52151E+11,5.27808E+11,4.70306E+11,5.11867E+11,5.58086E+11,6.07486E+11,6.56372E+11,7.15495E+11,7.44525E+11,7.0046E+11,7.71384E+11,8.17698E+11,8.09305E+11,8.28771E+11,8.07947E+11,8.30013E+11,8.12746E+11,8.34435E+11,8.13453E+11
Armenia,ARM,"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13241360920,11692121893,6804814621,6205991016,6541114704,6992451515,7402586818,7648432626,8206768207,8477591558,8977769460,9835742702,11132713294,12695834752,14024814656,15969454960,18077104187,20562561750,21981378511,18871015949,19286178300,20192628680,21646497945,22360832377,23165822343,23907128658,23954942915,25751563634,27090644943
American Samoa,ASM,"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1092548398,1116331793,1129262557,1188888427,1268260939,1212971180,1293085720,1363832145,1428359323,1481321381,1580447592,1502151037,1517534579,1609465436,1701791780,1810917564,2041420341,2230444036,2229771930,1959801487,1818695300,1780882314,1843330898,1841416328,1927191847,2004775519,2116837274,2181032610,2288571714
Australia,AUS,"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.89248E+11,4.8731E+11,4.89324E+11,5.09041E+11,5.29305E+11,5.496E+11,5.70918E+11,5.93563E+11,6.20728E+11,6.52222E+11,6.77874E+11,6.90963E+11,7.18611E+11,7.40069E+11,7.70082E+11,7.94757E+11,8.16967E+11,8.48373E+11,8.79406E+11,8.9644E+11,9.14974E+11,9.37507E+11,9.74078E+11,9.99558E+11,1.02523E+12,1.04918E+12,1.07905E+12,1.10433E+12,1.13564E+12
Austria,AUT,"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.40638E+11,2.4892E+11,2.54132E+11,2.5547E+11,2.61607E+11,2.68587E+11,2.74897E+11,2.80652E+11,2.90704E+11,3.01042E+11,3.11205E+11,3.15148E+11,3.20353E+11,3.23369E+11,3.32213E+11,3.39668E+11,3.51401E+11,3.64499E+11,3.69822E+11,3.559E+11,3.62438E+11,3.73031E+11,3.7557E+11,3.75666E+11,3.7815E+11,3.82472E+11,3.90273E+11,4.00228E+11,4.11151E+11
