code,region,continent,pop,gdp,ghg
ABW,South/Latin America (others),South and Latin America,104341,3889423506.82798,1000.1823871338099
AFG,Asia B,Asia,34413603,76148730970.9774,32756.4755631307
AGO,Africa (others),Africa,27884381,224090432421.236,85591.02002936699
ALB,Europe B,Europe,2880703,34931207194.3727,8985.26675380516
ARE,Middle East A,Asia,9262900,604115150946.678,249667.67312202713
ARG,South/Latin America (others),South and Latin America,43131966,1032324627079.02,394098.13159526617
ARM,Europe B,Europe,2925553,33121226305.9337,8143.953320278665
ASM,Asia B,Asia,55812,,
ATG,South/Latin America (others),South and Latin America,93566,1739867714.15252,735.44967587677
AUS,Australia and New Zealand,Australia and New Zealand,23815995,1143650132443.49,666717.2935592377
AUT,Europe B,Europe,8642699,459487375921.632,83844.42815298436
AZE,Asia B,Asia,9649341,143330448105.275,56010.71323662973
BDI,Africa (others),Africa,10160030,8384117569.63019,4938.882997299547
BEL,Europe B,Europe,11274196,557978234084.329,131398.71885249575
BEN,Africa (others),Africa,10575952,31156469106.8938,14411.826510638291
BFA,Africa (others),Africa,18110624,35039611210.9216,27575.649058962408
BGD,Asia B,Asia,156256276,578165453852.242,233815.0629776987
BGR,Europe B,Europe,7177991,140680439185.316,61455.48628940056
BHR,Middle East A,Asia,1371851,66265982513.5075,40400.363449980614
BHS,South/Latin America (others),South and Latin America,374206,13410549995.4777,3224.7705707639047
BIH,Europe B,Europe,3429361,43873672653.2001,30028.424859725674
BLR,Europe A,Europe,9489616,173731331560.254,147909.24649664195
BLZ,South/Latin America (others),South and Latin America,360933,2620116445.93174,911.887837569258
BOL,South/Latin America (others),South and Latin America,10869730,86788416900.8344,54133.58052257361
BRA,Brazil,South and Latin America,204471769,3079188290952.61,1266355.8486593356
BRB,South/Latin America (others),South and Latin America,285324,4389118385.76044,3351.732201727075
BRN,Asia A,Asia,414907,26200775034.7426,12162.588198760744
BTN,Asia B,Asia,727876,7341501096.72828,2502.5439544504534
BWA,Africa (others),Africa,2120716,35446397405.3359,98860.35944222593
CAF,Africa (others),Africa,4493170,3831548140.33666,10456.09552445823
CAN,Canada,North America,35702908,1705542753732.58,769342.351509427
CHE,Europe B,Europe,8282396,547978032837.753,48520.49741876626
CHL,South/Latin America (others),South and Latin America,17969353,424681648173.664,119354.1576695835
CHN,China,Asia,1371220000,17403446879536.8,12927367.094641713
CIV,Africa (others),Africa,23226143,102593385487.909,27534.198666840675
CMR,Africa (others),Africa,23298368,80581923290.7949,51350.6994957478
COD,Africa (others),Africa,76244544,81218921766.2939,43984.099236198505
COG,Africa (others),Africa,4856095,18464699055.9539,16544.61038365846
COL,South/Latin America (others),South and Latin America,47520667,676579479297.132,174666.68389133335
COM,Africa (others),Africa,777424,2300817402.70487,628.2964053972225
CPV,Africa (others),Africa,524743,3288483544.49253,1220.3794465113451
